Formulation_ID,group_key,group_primary_cas,group_primary_name,group_key_src,group_primary_from_same_row,group_primary_ing_idx,group_primary_cas_ing_idx,group_primary_name_ing_idx
MIX545,"Metconazole (-[(4-chlorophenyl)methyl]-2,2-dimethyl-1-(1H-1,2,4- 38-43 Active Ingredient",,"Metconazole (-[(4-chlorophenyl)methyl]-2,2-dimethyl-1-(1H-1,2,4- 38-43 Active Ingredient",name,False,0.0,,0.0
MIX546,10043-35-3,10043-35-3,Boric acid (H3BO3),cas,True,1.0,1.0,1.0
MIX547,34256-82-1,34256-82-1,Acetochlor,cas,True,1.0,1.0,1.0
MIX548,91465-08-6,91465-08-6,Lambda-Cyhalothrin,cas,True,1.0,1.0,1.0
MIX549,104-55-2,104-55-2,3-Phenylprop-2-enal,cas,True,3.0,3.0,3.0
MIX55,188425-85-6,188425-85-6,Boscalid,cas,True,1.0,1.0,1.0
MIX550,175013-18-0,175013-18-0,Pyraclostrobin,cas,True,0.0,0.0,0.0
MIX551,121451-02-3,121451-02-3,Noviflumuron,cas,True,1.0,1.0,1.0
MIX552,7722-84-1,7722-84-1,Hydrogen peroxide,cas,True,1.0,1.0,1.0
MIX553,2758-42-1,2758-42-1,"Dimethylamine Salt of 4-(2,4-Dichlorophenoxy) Butyric Acid (2,4-DB)",cas,True,0.0,0.0,0.0
MIX554,422556-08-9,422556-08-9,Pyroxsulam,cas,True,1.0,1.0,1.0
MIX555,865318-97-4,865318-97-4,ametoctradin,cas,True,0.0,0.0,0.0
MIX556,156052-68-5,156052-68-5,Zoxamide,cas,True,0.0,0.0,0.0
MIX557,156052-68-5,156052-68-5,Zoxamide,cas,True,1.0,1.0,1.0
MIX558,156052-68-5,156052-68-5,Zoxamide,cas,True,1.0,1.0,1.0
MIX559,22248-79-9,22248-79-9,"Other ingredients (incl. petroleum distillates, phenol as toxic inert)",cas,False,2.0,2.0,1.0
MIX56,82657-04-3,82657-04-3,Bifenthrin,cas,True,2.0,2.0,2.0
MIX560,1982-69-0,1982-69-0,Dicamba-sodium,cas,True,2.0,2.0,2.0
MIX561,35554-44-0,35554-44-0,Imazalil,cas,True,2.0,2.0,2.0
MIX562,57-55-6,57-55-6,"1,2-Propanediol",cas,True,3.0,3.0,3.0
MIX563,52645-53-1,52645-53-1,Permethrin,cas,True,1.0,1.0,1.0
MIX564,122008-85-9,122008-85-9,Cyhalofop-butyl,cas,True,4.0,4.0,4.0
MIX565,123-42-2,123-42-2,Diacetone Alcohol,cas,True,1.0,1.0,1.0
MIX566,64742-94-5,64742-94-5,Heavy aromatic naphtha,cas,True,2.0,2.0,2.0
MIX567,374726-62-2,374726-62-2,Mandipropamid,cas,True,0.0,0.0,0.0
MIX568,858956-08-8,858956-08-8,Aminocyclopyrachlor,cas,True,0.0,0.0,0.0
MIX569,8018-01-7,8018-01-7,Mancozeb,cas,True,4.0,4.0,4.0
MIX57,175013-18-0,175013-18-0,Pyraclostrobin,cas,True,0.0,0.0,0.0
MIX570,1897-45-6,1897-45-6,Chlorothalonil,cas,True,0.0,0.0,0.0
MIX571,122931-48-0,122931-48-0,Rimsulfuron,cas,True,1.0,1.0,1.0
MIX572,1897-45-6,1897-45-6,Chlorothalonil,cas,True,2.0,2.0,2.0
