endpoint,Formulation_ID,quote_missing,has_endpoint_word,has_explicit_negative,has_suspicious_marker,has_no_data_marker,quote
sens,Cancer_PID_99,False,True,True,False,False,Respiratory or skin sensitisation : Not classified
sens,EyeIrritation6pack_PID1024,False,True,True,True,True,2.1 Classification of the substance or mixture / Not a hazardous substance or mixture. / ... Respiratory or skin sensitisation / No data available
sens,EyeIrritation6pack_PID1027,False,True,True,False,True,Skin Sensitization (guinea pigs) Non-sensitizer EPA Tox Category Not applicable
sens,EyeIrritation6pack_PID1039,False,True,True,False,False,(d) respiratory or skin sensitization: Not sensitizing
sens,EyeIrritation6pack_PID1040,False,True,True,False,False,Respiratory or skin sensitisation / Product: / Result : Not a skin sensitizer.
sens,EyeIrritation6pack_PID1044,False,True,True,True,True,Respiratory or Skin Sensitization: N/Av ... Sensitization: No effects known.
sens,EyeIrritation6pack_PID1051,False,True,True,False,False,Respiratory or skin sensitisation Guinea pig Did not cause sensitization on laboratory animals.
sens,EyeIrritation6pack_PID1055,False,True,True,False,False,· Sensitization: No sensitizing effects known.
sens,EyeIrritation6pack_PID1060,False,True,True,False,False,Sensitization / Assessment of sensitization: No sensitizing effect.
sens,EyeIrritation6pack_PID116,False,True,True,False,False,"Guinea pig, Dermal Sensitizer -   Not a sensitizer"
sens,EyeIrritation6pack_PID168,False,True,True,False,False,Respiratory or skin sensitization : Not classified
