sheet,column,role,dtype,n_notna,fill_pct,in_X,sds_coderived,feature_role,exclude_by_default
formulation,pc2_ph_lo,feature,float64,533,31.82,True,False,chemistry,False
formulation,pc2_ph_hi,feature,float64,533,31.82,True,False,chemistry,False
formulation,pc2_strong_acid,feature,object,533,31.82,False,False,chemistry,False
formulation,pc2_strong_base,feature,object,533,31.82,False,False,chemistry,False
formulation,pc2_unparsed,provenance,str,98,5.85,False,False,provenance,False
formulation,pc2_suspect,provenance,str,39,2.33,False,False,provenance,False
formulation,ph_basis,feature,str,536,32.0,False,False,chemistry,False
formulation,ph_basis_pct,feature,float64,258,15.4,True,False,ambiguous,True
formulation,pc2_vp,feature,float64,691,41.25,True,False,chemistry,False
formulation,pc2_vp_mod,feature,str,148,8.84,False,False,chemistry,False
formulation,pc2_ph,feature,float64,533,31.82,True,False,chemistry,False
formulation,pc2_ph_mod,feature,str,259,15.46,False,False,chemistry,False
formulation,pc2_mp,feature,float64,786,46.93,True,False,chemistry,False
formulation,pc2_mp_mod,feature,str,291,17.37,False,False,chemistry,False
formulation,pc2_evap,feature,float64,13,0.78,True,False,chemistry,False
formulation,pc2_evap_mod,feature,str,7,0.42,False,False,chemistry,False
formulation,pc2_autoignition,feature,float64,156,9.31,True,False,chemistry,False
formulation,pc2_autoignition_mod,feature,str,29,1.73,False,False,chemistry,False
formulation,pc2_vapdens,feature,float64,25,1.49,True,False,chemistry,False
formulation,pc2_vapdens_mod,feature,str,8,0.48,False,False,chemistry,False
formulation,pc2_density,feature,float64,723,43.16,True,False,chemistry,False
formulation,pc2_density_mod,feature,str,229,13.67,False,False,chemistry,False
formulation,pc2_solubility,feature,float64,607,36.24,True,False,chemistry,False
formulation,pc2_solubility_mod,feature,str,68,4.06,False,False,chemistry,False
formulation,pc2_viscosity,feature,float64,158,9.43,True,False,chemistry,False
formulation,pc2_viscosity_mod,feature,str,57,3.4,False,False,chemistry,False
formulation,pc2_fp,feature,float64,430,25.67,True,False,chemistry,False
formulation,pc2_fp_mod,feature,str,175,10.45,False,False,chemistry,False
