Formulation_ID,Formulation_Name,Audit_Status,recommendation,priority,current_n_cas,current_n_smiles,current_n_ing,Formulation_Ingredients_CAS,Formulation_Ingredients_SMILES,Formulation_Ingredients_PubChem_CID,Audit_Issues
EyeIrritation6pack_PID61,Albaugh Glyphosphate Acid,MATCH,NO_ACTION,9,2,2,2,38641-94-0,CC(C)N.C(C(=O)O)NCP(=O)(O)O,38078,
EyeIrritation6pack_PID358,DuPont Fontelis Fungicide,MATCH,NO_ACTION,9,1,1,3,183675-82-3,CC(C)CC(C)C1=C(C=CS1)NC(=O)C2=CN(N=C2C(F)(F)F)C,11388558,
EyeIrritation6pack_PID356,DuPont DPX-MAT28 Herbicide,MATCH,NO_ACTION,9,2,3,4,858956-35-1 | 858956-08-8,C1CC1C2=NC(=C(C(=N2)N)Cl)C(=O)[O-].[K+] | C1CC1C2=NC(=C(C(=N2)N)Cl)C(=O)O,44148874 | 17747875,
EyeIrritation6pack_PID355,DuPont DPX-MAT28 0.05G Turf Herbicide + Fertilizer,MATCH,NO_ACTION,9,1,3,6,57-13-6 | 7447-40-7 | 29091-21-2 | 16389-88-1,C(=O)(N)N | [Cl-].[K+] | CCCN(CCC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-] | C(=O)([O-])[O-].C(=O)([O-])[O-].[Mg+2].[Ca+2],1176 | 4873 | 34469 | 61833,
EyeIrritation6pack_PID107,Azoxystrobin 50 WG,MATCH,NO_ACTION,9,3,3,3,131860-33-8 | 108-95-2 | 1317-65-3,CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC | C1=CC=C(C=C1)O,3034285 | 996,
EyeIrritation6pack_PID1064,"Zoxamide, 80 WP",MATCH,NO_ACTION,9,2,2,2,471-46-5,C(=O)(C(=O)N)N,10113,
EyeIrritation6pack_PID1062,Zoxamide(95_100%),EVIDENCE_WEAK,NO_ACTION,9,2,2,2,471-46-5,C(=O)(C(=O)N)N,10113,WORKBOOK_CAS_FOUND_OUTSIDE_SECTION_3
EyeIrritation6pack_PID1061,"Zoxamide (Dithane/RH-117,281 DG Blend 8:1)",MATCH,NO_ACTION,9,2,3,3,68291-97-4,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,5734,
EyeIrritation6pack_PID1059,Ygiene 206,MISMATCH,NO_ACTION,9,3,3,3,7732-18-5,O,962,SOURCE_DOWNLOAD_FAILED: 429 Client Error: Too Many Requests for url: https://quiplabs.com/wp-content/uploads/GHS-SDS-Ygiene-206-Sterilant.pdf | SUPPLEMENTAL_ATTENTION_REQUIRED: SOURCE_SCOPE_NOT_EXACT | WORKBOOK_CAS_NOT_FOUND_IN_SOURCE | WORKBOOK_INGREDIENT_NOT_FOUND_IN_SOURCE | SUPPLEMENTAL_ATTENTION_REQUIRED: NO_HIGHLIGHTED_SOURCE | SOURCE_SCOPE_NOT_EXACT | WORKBOOK_CAS_NOT_FOUND_IN_SOURCE | WORKBOOK_INGREDIENT_NOT_FOUND_IN_SOURCE | SUPPLEMENTAL_ATTENTION_REQUIRED: SOURCE_SCOPE_NOT_EXACT | OCCURRENCE_MISMATCH | MANUAL_REVIEW_REQUIRED | SUPPLEMENTAL_ATTENTION_REQUIRED: SOURCE_SCOPE_NOT_EXACT | NO_LINKED_SUPPLEMENTAL_ARTIFACTS | OCCURRENCE_MISMATCH | MANUAL_REVIEW_REQUIRED
EyeIrritation6pack_PID1056,Xemium Fungicide,MATCH,NO_ACTION,9,3,4,10,175013-18-0 | 907204-31-3 | 68425-94-5 | 52-51-7 | 55965-84-9,COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC | CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F | C(C(CO)([N+](=O)[O-])Br)O | CN1C(=O)C=CS1.CN1C(=O)C=C(S1)Cl,6422843 | 16095400 | 2450 | 41679,
