우선순위,endpoint,Formulation_ID,product_name,현재라벨,현재이진,마스크적용,원문URL,URL출처컬럼,로컬보유,doc_source,doc_rel,판정결과(양성/음성/판별불가),H코드,원문근거문장,확인자,확인일
2,skin,EyeIrritation6pack_PID443,Flufenacet & Isoxaflutole SC Herbicide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/409beaa5d1f77869_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID467,Folicur 1. 2 emulsifiable concentrate(16.6),NC,0,아니오,https://www.chemblink.com/MSDSFiles/107534-96-3Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G039_107534-96-3_ChemBlink_Sigma_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID475,Foundation Lite,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/91a039fb3c299dad_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID477,FreeHand 1.75G Herbicide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/f75e6ad30f5f78ac_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID489,Geo Tru,NC,0,아니오,https://www.chemblink.com/MSDSFiles/109-66-0Sigma-Aldrich.pdf | https://www.chemblink.com/MSDSFiles/9003-53-6Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G042_109-66-0_ChemBlink_Sigma_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID511,Gharda Permethrin(94%),NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/75eb485b35e71c8d_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID514,Glyphosphate (96),NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/fe7d5e34f5ae3bea_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID516,Glyphosphate (97),NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/62cd49e750a40afb_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID560,Ironclad Herbicide,NC,0,아니오,https://www.crcindustries.com/media/msdsen/msds_en-1003169.pdf,tox_source_url,아니오,url,,,,,,
2,skin,EyeIrritation6pack_PID690,Nemathorin 500EC,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/64126d32834644ab_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID694,NEU1171H,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/0504e3ad50d63ff1_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID699,NNI-0001,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/ba0e013d21fa2454_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID732,Orvego Fungicide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/a88621fdfd8abb4e_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID738,Penbotec,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/722e874e7b3fa468_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID768,Precise Acephate,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/ab7607502f17e0a8_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID788,Punjab Tebuconazole,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/79a90a19c994074c_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID800,Raid Ant & Roach Killer with Germ Kill CIK,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/67317f1d65d94142_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID827,Rotam 2F Ornamental Insecticide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/dbc150bb88eac526_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID828,Rotam Imidacloprid,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/ec4a4c92622381e4_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID829,ROTAM Methomyl 29LV Insecticide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/2a4cdba7430141c3_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID838,S-Metolachlor & Mesotrione,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/f7d0674de986bc8f_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID863,Secure Dry Insecticide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/f3ef9199ef51964a_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID960,Tempo 0.1 Granular Insecticide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/ff0ebd75d0a64547_highlighted.pdf,,,,,
2,skin,EyeIrritation6pack_PID977,Three-Way VAP,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/0df309adc32d174c_highlighted.pdf,,,,,
2,skin,MIX1004,Gurjun oil,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/6b554f569c17112e_highlighted.pdf,,,,,
2,skin,MIX1023,Amyris oil acetylated,NC,0,아니오,http://www.thegoodscentscompany.com/data/rw1001111.html,p1_source_url,아니오,local,ingredient_source_audit/highlighted/6a9669c7268221b5_highlighted.pdf,,,,,
2,skin,MIX1024,Bay oil,NC,0,아니오,https://www.praannaturals.com/downloads/msds/SDS_Oil_Sweet_Almond_OILSWALMCPUS614.pdf,tox_source_url,아니오,url,,,,,,
2,skin,MIX1047,Hibawood oil,NC,0,아니오,https://www.chemblink.com/MSDSFiles/499-44-5Sigma-Aldrich.pdf | https://www.chemblink.com/MSDSFiles/77-53-2Sigma-Aldrich.pdf | https://www.chemblink.com/MSDSFiles/470-40-6Sigma-Aldrich.pdf | https://www.chemblink.com/MSDSFiles/562-74-3Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G061_499-44-5_ChemBlink_Sigma_highlighted.pdf,,,,,
2,skin,MIX116,Copper Oxide,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/1fd258822e295cf0_highlighted.pdf,,,,,
2,skin,MIX158,Drexel Suffa-8,NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/4c1a05e8d886f459_highlighted.pdf,,,,,
2,skin,MIX194,Ethofumesate (#N/A),NC,0,아니오,,,아니오,local,ingredient_source_audit/highlighted/6343986e65128ec1_highlighted.pdf,,,,,
2,skin,MIX203,Fenhexamid(95.5%),NC,0,아니오,https://www.chemblink.com/MSDSFiles/126833-17-8Sigma-Aldrich.pdf,p1_source_url,아니오,local,ingredient_source_audit/highlighted/e4d47b99d2587d3c_highlighted.pdf,,,,,
