endpoint,binarization,label_regime,n,n_pos,n_neg,n_groups,prevalence,dummy_f1_formula_2p_over_1plusp,feature_set,n_features,low_confidence,seeds,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,balanced_accuracy,balanced_accuracy_sd,mcc,mcc_sd,dummy_mf_f1,dummy_mf_f1_sd,dummy_mf_balanced_accuracy,dummy_mf_balanced_accuracy_sd,dummy_mf_mcc,dummy_mf_mcc_sd,prevalence_sd,fold_roc_auc_sd
skin,strict_skin_only3,measured,544,100,444,257,0.18382352941176472,0.31055900621118016,S1_chemistry,221,False,"0,1,2,3,4",0.677304054054054,0.013505988896055884,0.3276137299749752,0.011166686072803429,0.11609866782280576,0.030410704521469243,0.5253423423423424,0.009678323911583119,0.12716267891430097,0.04691048566553969,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.06999771822121446
skin,strict_skin_only3,measured,544,100,444,257,0.18382352941176472,0.31055900621118016,S1_minus_CT26,195,False,"0,1,2,3,4",0.6760518018018018,0.012800932808692668,0.3257539199580096,0.019645412319034036,0.11632026303823147,0.011105827662899168,0.5251171171171171,0.005196566327768405,0.12730817666659783,0.03716788860455924,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.06598680833538714
skin,strict_skin_only3,regulatory,515,256,259,349,0.4970873786407767,0.6640726329442284,S1_chemistry,221,False,"0,1,2,3,4",0.7132842664092665,0.010705314945562282,0.7181567827453084,0.01542114677403766,0.6539401039641605,0.010805232912224516,0.6448404319498069,0.009080054212584879,0.29047648717215996,0.018024986061740366,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.05340029687188027
skin,strict_skin_only3,regulatory,515,256,259,349,0.4970873786407767,0.6640726329442284,S1_minus_CT26,195,False,"0,1,2,3,4",0.7099481177606177,0.006925479182596095,0.71706277301596,0.008361414058207775,0.6521959005990405,0.012293994574136451,0.6386990226833976,0.013513488895753614,0.2785512910969429,0.02696111705486298,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.04815587505954941
skin,strict_skin_only3,regulatory_minus_sdsv1,230,109,121,188,0.47391304347826085,0.6430678466076696,S1_chemistry,221,False,"0,1,2,3,4",0.7462658275835924,0.012590299131746408,0.7311985653531239,0.013413764354919354,0.6775353531073485,0.02463424706030508,0.6800212298127228,0.022594293798969583,0.3600998316062503,0.04544026279900852,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.08750284029130227
skin,strict_skin_only3,regulatory_minus_sdsv1,230,109,121,188,0.47391304347826085,0.6430678466076696,S1_minus_CT26,195,False,"0,1,2,3,4",0.7524982940329062,0.009812404484379922,0.7346025795651479,0.010319928447282517,0.6854709573692942,0.016061395610249673,0.6900295700962923,0.01725535822842817,0.37981594361428117,0.03436997841626507,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.08339527655998649
sens,inclusive,all,716,381,335,364,0.5321229050279329,0.6946216955332726,S1_chemistry,221,False,"0,1,2,3,4",0.6969177733380342,0.013489799651376333,0.7261223130320753,0.012744736744889226,0.6700241421902788,0.012709998279669146,0.6491181885846359,0.016325159233665773,0.2982129454079241,0.03233687910886213,0.6946216955332726,0.0,0.5,0.0,0.0,0.0,0.0,0.036872785450771516
sens,inclusive,all,716,381,335,364,0.5321229050279329,0.6946216955332726,S1_minus_CT26,195,False,"0,1,2,3,4",0.6793042660712187,0.010937600845725676,0.7081971557297289,0.01105509133088372,0.6604466004862178,0.013152139217505854,0.6373839464096839,0.017785710040699808,0.27474993940329284,0.03526657024142278,0.6946216955332726,0.0,0.5,0.0,0.0,0.0,0.0,0.03041684857958954
sens,inclusive,regulatory,716,381,335,364,0.5321229050279329,0.6946216955332726,S1_chemistry,221,False,"0,1,2,3,4",0.6969177733380342,0.013489799651376333,0.7261223130320753,0.012744736744889244,0.6700241421902788,0.012709998279669146,0.6491181885846359,0.016325159233665773,0.2982129454079241,0.03233687910886213,0.6946216955332726,0.0,0.5,0.0,0.0,0.0,0.0,0.03687278545077152
sens,inclusive,regulatory,716,381,335,364,0.5321229050279329,0.6946216955332726,S1_minus_CT26,195,False,"0,1,2,3,4",0.6793042660712187,0.010937600845725676,0.7081971557297289,0.01105509133088372,0.6604466004862178,0.013152139217505854,0.6373839464096839,0.017785710040699808,0.27474993940329284,0.03526657024142278,0.6946216955332726,0.0,0.5,0.0,0.0,0.0,0.0,0.03041684857958954
sens,inclusive,regulatory_minus_sdsv1,321,197,124,185,0.6137071651090342,0.7606177606177605,S1_chemistry,221,False,"0,1,2,3,4",0.6154331095464222,0.024153724479173733,0.6960544070665338,0.023628042444264315,0.6760228602818605,0.02047559264414661,0.5830235794989356,0.022674137571060238,0.1659245106526503,0.045426496642262386,0.7606177606177607,0.0,0.5,0.0,0.0,0.0,0.0,0.08396613216823835
sens,inclusive,regulatory_minus_sdsv1,321,197,124,185,0.6137071651090342,0.7606177606177605,S1_minus_CT26,195,False,"0,1,2,3,4",0.6154003602423449,0.028359561452378564,0.6952312569719533,0.02675256590164294,0.6721615026655382,0.016695188580711066,0.5843990502701818,0.02558248960101346,0.16759753294208318,0.04991628269384381,0.7606177606177607,0.0,0.5,0.0,0.0,0.0,0.0,0.09221361040768383
