Formulation_ID,product_name,제형코드,제형코드_출처,v5_formulation_code,배정범위내,확보값_원문,파싱값,파싱하한,파싱상한,값형태,측정조건,측정조건_원문,근거URL,극단pH게이트,극단pH게이트_조건무시,기존값충돌,v5조인,v5물리형태,미확보사유,미확보세부,귀속등급,귀속코드,제품명불일치자인,제형표기모순,사람검토요망,상세기록,채택가능,판정근거
EyeIrritation6pack_PID51,Acticide PM Industrial Mildewicide,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 조성 데이터 결함,D2 조성 파싱결함(형제행 근거),참고값 기각 - 조성 데이터 결함,D2 조성 파싱결함(형제행 근거),N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 조성 데이터 결함 · D2 조성 파싱결함(형제행 근거)
EyeIrritation6pack_PID535,HM-2010,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 귀속 불성립,D1 미지배성분 대입,참고값 기각 - 귀속 불성립,D1 미지배성분 대입,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 귀속 불성립 · D1 미지배성분 대입
EyeIrritation6pack_PID54,Advantage Plus 20 for Dogs,SL,제형코드시트.추출정보(팀원기입),,Y,7 at 1% suspension in distilled water,7,7.0,7.0,단일,1%수용액,1% 수용액,https://s3-us-west-1.amazonaws.com/agrian-cg-fs1-production/pdfs/Imidacloprid_75WSB_MSDS1p.pdf,해당없음,해당없음,해당없음(v5 ph_best 결측),Y,,,,참고값 - 동일 제품 아님,출처: 타제품 완제품 SDS,N,N,N,N,보류,참고값 - 동일 제품 아님 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID553,INDOX2,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 귀속 불성립,D1 미지배성분 대입,참고값 기각 - 귀속 불성립,D1 미지배성분 대입,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 귀속 불성립 · D1 미지배성분 대입
EyeIrritation6pack_PID560,Ironclad Herbicide,SL,제형코드시트.추출정보(팀원기입),,Y,4.10,4.1,4.1,4.1,단일,미명시,미기재,https://s3-us-west-1.amazonaws.com/agrian-cg-fs1-production/pdfs/Ironclad_MSDS.pdf,판정불가,해당없음,해당없음(v5 ph_best 결측),Y,,,,참고값 - 동일 제품 아님,출처: 유통사 SDS 아카이브,N,N,N,N,보류,참고값 - 동일 제품 아님 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID583,Larvin 500 Insecticide,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 정보량 부족,A2 동일제품 동의어·리브랜딩,참고값 기각 - 정보량 부족,A2 동일제품 동의어·리브랜딩,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 정보량 부족 · A2 동일제품 동의어·리브랜딩
EyeIrritation6pack_PID602,Liberty ATZ Herbicide,SL,제형코드시트.추출정보(팀원기입),,Y,6.55,6.55,6.55,6.55,단일,미명시,미기재,https://www.albaugh.com/docs/unitedstateslibraries/productfiles/surmise-pro-safety-data-sheet-.pdf?sfvrsn=fbc23a6d_1,판정불가,해당없음,해당없음(v5 ph_best 결측),Y,,,,참고값 - 동일 제품 아님,출처: 제조사 SDS,Y,N,N,N,보류,참고값 - 동일 제품 아님 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID607,Lonza Formulation FC-600,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,근거 확보 실패,출처: 없음,근거 확보 실패,출처: 없음,N,N,N,N,보류,확보값 없음 · 근거 확보 실패 · 출처: 없음
EyeIrritation6pack_PID608,Lonza Formulation R-82,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 귀속 불성립,D1 미지배성분 대입,참고값 기각 - 귀속 불성립,D1 미지배성분 대입,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 귀속 불성립 · D1 미지배성분 대입
EyeIrritation6pack_PID616,M920 Insecticide,SL,제형코드시트.추출정보(팀원기입),,Y,6.0 - 7.0 (as aqueous solution),6-7,6.0,7.0,범위,미명시,수용액(농도 미기재),https://s3-us-west-1.amazonaws.com/agrian-cg-fs1-production/pdfs/IMIDACLOPRID_75WSP_SELECT1e_MSDS.pdf,판정불가,해당없음,해당없음(v5 ph_best 결측),Y,,,,참고값 - 동일 제품 아님,출처: 제조사 SDS,N,N,N,N,보류,참고값 - 동일 제품 아님 - 제품 자체 pH 아님(성분/타제품 참고값)
