Formulation_ID,ingredient_name,cas,ing_ghs_indep_eye_cat,ing_ghs_indep_skin_cat,ing_ghs_indep_sens_cat,ing2_pct_raw_text,pct_text,pct_value,동일CAS_농도참조,동일CAS_참조수,SDS존재,SDS파일,has_ghs_eye,has_ghs_skin,has_ghs_both,우선순위
EyeIrritation6pack_PID117,"Talc , not containing asbestiform fibres ≥ - ≤50",,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID117,xylene ≥ - ≤19,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID117,Epoxy resin (MW ≤ 700) ≥5.0 - ≤10,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID117,Epoxy Resin (700<MW<=1100) ≥1.0 - ≤5.0,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID117,ethylbenzene ≥ - ≤5.0,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID117,bis(-ethylhexyl) phthalate ≥1.0 - ≤5.0,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID117,titanium dioxide ≥ - ≤5.0,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID117,"crystalline silica, respirable powder (< microns) <1.0",,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID118,"2,6-Di-tert-butyl-4-methylphenol",,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID118,Propyl Gallate,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID118,Ascorbyl Palmitate,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID118,Phytate Persodium,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID118,Ethyl beta-apo-8'-carotenoate,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID119,Bentazone-sodium,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID123,,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID124,Content (W/W),,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID124,Content (W/W): >= 1.0,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID124,Content (W/W): <=,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID125,Dithianon,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID125,Ammonium Sulfate,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID128,Pendimethalin,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID128,Picolinafen,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID128,"1,2-Benzisothiazol-3(2H)-one",,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID128,Bronopol,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID128,Kathon,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID128,Silica,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID128,Propylene Glycol,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID134,"N2-tert-BUTYL-6-CHLORO-N4-ETHYL-1,3,5-TRIAZINE-2,4",,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID134,DIAMINE,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID137,Permethrin,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID137,Other Ingredients,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID138,Bentazon,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID145,Calcium Limestone (>=80 - <=),,,,,100%,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID145,C =,,,,,52.8 %,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID145,"Carbamide, Carbonyldiamide, Carbamidic Acid) ( - 99.7%",,,,,97.5%,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
