측정,결측처리,endpoint,관할,n,유병률,ROC_AUC,AUC_sd,MCC,BA,ΔAUC_vs_UN,sd_paired,t_df4,시드양수,ΔAUC_CT권고_vs_A0
M2_관할행_CT_A0,nan0,eye,UN_GHS,1153,0.6184,0.6387,0.0097,0.2015,0.5898,,,,,
M2_관할행_CT_권고,nan0,eye,UN_GHS,1153,0.6184,0.6665,0.013,0.2186,0.5991,,,8.05,,0.0277
M2_관할행_CT_A0,native,eye,UN_GHS,1153,0.6184,0.6299,0.0105,0.179,0.5799,,,,,
M2_관할행_CT_권고,native,eye,UN_GHS,1153,0.6184,0.6497,0.0094,0.1948,0.5874,,,8.98,,0.0198
M2_관할행_CT_A0,nan0,eye,EU_CLP,1153,0.3348,0.7203,0.0075,0.365,0.6747,,,,,
M2_관할행_CT_권고,nan0,eye,EU_CLP,1153,0.3348,0.7387,0.0087,0.3853,0.6836,,,7.87,,0.0183
M2_관할행_CT_A0,native,eye,EU_CLP,1153,0.3348,0.7296,0.0082,0.3625,0.6721,,,,,
M2_관할행_CT_권고,native,eye,EU_CLP,1153,0.3348,0.7451,0.0088,0.3923,0.6859,,,8.37,,0.0155
M2_관할행_CT_A0,nan0,eye,K_REACH,1153,0.6184,0.6387,0.0097,0.2015,0.5898,,,,,
M2_관할행_CT_권고,nan0,eye,K_REACH,1153,0.6184,0.6665,0.013,0.2186,0.5991,,,8.05,,0.0277
M2_관할행_CT_A0,native,eye,K_REACH,1153,0.6184,0.6299,0.0105,0.179,0.5799,,,,,
M2_관할행_CT_권고,native,eye,K_REACH,1153,0.6184,0.6497,0.0094,0.1948,0.5874,,,8.98,,0.0198
M2_관할행_CT_A0,nan0,eye,US_OSHA,1153,0.6184,0.6387,0.0097,0.2015,0.5898,,,,,
M2_관할행_CT_권고,nan0,eye,US_OSHA,1153,0.6184,0.6665,0.013,0.2186,0.5991,,,8.05,,0.0277
M2_관할행_CT_A0,native,eye,US_OSHA,1153,0.6184,0.6299,0.0105,0.179,0.5799,,,,,
M2_관할행_CT_권고,native,eye,US_OSHA,1153,0.6184,0.6497,0.0094,0.1948,0.5874,,,8.98,,0.0198
M2_관할행_CT_A0,nan0,skin,UN_GHS,615,0.6033,0.6882,0.0093,0.2982,0.643,,,,,
M2_관할행_CT_권고,nan0,skin,UN_GHS,615,0.6033,0.7334,0.0064,0.3642,0.6742,,,26.69,,0.0452
M2_관할행_CT_A0,native,skin,UN_GHS,615,0.6033,0.6992,0.0116,0.3082,0.6475,,,,,
M2_관할행_CT_권고,native,skin,UN_GHS,615,0.6033,0.735,0.0107,0.3641,0.6752,,,12.61,,0.0358
M2_관할행_CT_A0,nan0,skin,EU_CLP,1059,0.3362,0.7547,0.0085,0.3726,0.6776,,,,,
M2_관할행_CT_권고,nan0,skin,EU_CLP,1059,0.3362,0.7697,0.0041,0.3852,0.6838,,,6.58,,0.015
M2_관할행_CT_A0,native,skin,EU_CLP,1059,0.3362,0.7612,0.0071,0.3655,0.6733,,,,,
